data_horario;cmo
28/03/2006 00:00;34.65
28/03/2006 01:00;34.65
28/03/2006 02:00;34.65
28/03/2006 03:00;34.65
28/03/2006 04:00;34.65
28/03/2006 05:00;34.65
28/03/2006 06:00;34.65
28/03/2006 07:00;41.49
28/03/2006 08:00;41.49
28/03/2006 09:00;41.49
28/03/2006 10:00;41.49
28/03/2006 11:00;41.49
28/03/2006 12:00;41.49
28/03/2006 13:00;41.49
28/03/2006 14:00;41.49
28/03/2006 15:00;41.49
28/03/2006 16:00;41.49
28/03/2006 17:00;41.49
28/03/2006 18:00;42
28/03/2006 19:00;42
28/03/2006 20:00;42
28/03/2006 21:00;41.49
28/03/2006 22:00;41.49
28/03/2006 23:00;41.49
29/03/2006 00:00;34.65
29/03/2006 01:00;34.65
29/03/2006 02:00;34.65
29/03/2006 03:00;34.65
29/03/2006 04:00;34.65
29/03/2006 05:00;34.65
29/03/2006 06:00;34.65
29/03/2006 07:00;41.49
29/03/2006 08:00;41.49
29/03/2006 09:00;41.49
29/03/2006 10:00;41.49
29/03/2006 11:00;41.49
29/03/2006 12:00;41.49
29/03/2006 13:00;41.49
29/03/2006 14:00;41.49
29/03/2006 15:00;41.49
29/03/2006 16:00;41.49
29/03/2006 17:00;41.49
29/03/2006 18:00;42
29/03/2006 19:00;42
29/03/2006 20:00;42
29/03/2006 21:00;41.49
29/03/2006 22:00;41.49
29/03/2006 23:00;41.49
30/03/2006 00:00;34.65
30/03/2006 01:00;34.65
30/03/2006 02:00;34.65
30/03/2006 03:00;34.65
30/03/2006 04:00;34.65
30/03/2006 05:00;34.65
30/03/2006 06:00;34.65
30/03/2006 07:00;41.49
30/03/2006 08:00;41.49
30/03/2006 09:00;41.49
30/03/2006 10:00;41.49
30/03/2006 11:00;41.49
30/03/2006 12:00;41.49
30/03/2006 13:00;41.49
30/03/2006 14:00;41.49
30/03/2006 15:00;41.49
30/03/2006 16:00;41.49
30/03/2006 17:00;41.49
30/03/2006 18:00;42
30/03/2006 19:00;42
30/03/2006 20:00;42
30/03/2006 21:00;41.49
30/03/2006 22:00;41.49
30/03/2006 23:00;41.49
31/03/2006 00:00;34.65
31/03/2006 01:00;34.65
31/03/2006 02:00;34.65
31/03/2006 03:00;34.65
31/03/2006 04:00;34.65
31/03/2006 05:00;34.65
31/03/2006 06:00;34.65
31/03/2006 07:00;41.49
31/03/2006 08:00;41.49
31/03/2006 09:00;41.49
31/03/2006 10:00;41.49
