data_horario;g_eol
28/03/2006 0:00;0
28/03/2006 1:00;0
28/03/2006 2:00;0
28/03/2006 3:00;0
28/03/2006 4:00;0
28/03/2006 5:00;0
28/03/2006 6:00;0
28/03/2006 7:00;0
28/03/2006 8:00;0
28/03/2006 9:00;0
28/03/2006 10:00;0
28/03/2006 11:00;0
28/03/2006 12:00;0
28/03/2006 13:00;0
28/03/2006 14:00;0
28/03/2006 15:00;0
28/03/2006 16:00;0.05
28/03/2006 17:00;0.07
28/03/2006 18:00;0.05
28/03/2006 19:00;0.11
28/03/2006 20:00;0.11
28/03/2006 21:00;0.14
28/03/2006 22:00;0.13
28/03/2006 23:00;0.07
29/03/2006 0:00;0.09
29/03/2006 1:00;0.09
29/03/2006 2:00;0
29/03/2006 3:00;0.06
29/03/2006 4:00;0.06
29/03/2006 5:00;0.03
29/03/2006 6:00;0.04
29/03/2006 7:00;0.1
29/03/2006 8:00;0.08
29/03/2006 9:00;0.09
29/03/2006 10:00;0.05
29/03/2006 11:00;0.1
29/03/2006 12:00;0.14
29/03/2006 13:00;0.14
29/03/2006 14:00;0.1
29/03/2006 15:00;0.11
29/03/2006 16:00;0.09
29/03/2006 17:00;0.14
29/03/2006 18:00;0.17
29/03/2006 19:00;0.16
29/03/2006 20:00;0.14
29/03/2006 21:00;0.16
29/03/2006 22:00;0.11
29/03/2006 23:00;0.1
30/03/2006 0:00;0.11
30/03/2006 1:00;0.11
30/03/2006 2:00;0.1
30/03/2006 3:00;0.08
30/03/2006 4:00;0.08
30/03/2006 5:00;0.07
30/03/2006 6:00;0
30/03/2006 7:00;0.03
30/03/2006 8:00;0.15
30/03/2006 9:00;0.2
30/03/2006 10:00;0.21
30/03/2006 11:00;0.14
30/03/2006 12:00;0.12
30/03/2006 13:00;0.1
30/03/2006 14:00;0.11
30/03/2006 15:00;0.2
30/03/2006 16:00;0.29
30/03/2006 17:00;0.37
30/03/2006 18:00;0.36
30/03/2006 19:00;0.34
30/03/2006 20:00;0.33
30/03/2006 21:00;0.15
30/03/2006 22:00;0.09
30/03/2006 23:00;0.07
31/03/2006 0:00;0.05
31/03/2006 1:00;0.04
31/03/2006 2:00;0.03
31/03/2006 3:00;0
31/03/2006 4:00;0
31/03/2006 5:00;0
31/03/2006 6:00;0
31/03/2006 7:00;0
31/03/2006 8:00;0.02
31/03/2006 9:00;0.16
31/03/2006 10:00;0.17
31/03/2006 11:00;0.19
31/03/2006 12:00;0.2
31/03/2006 13:00;0.2
31/03/2006 14:00;0.14
31/03/2006 15:00;0.16
31/03/2006 16:00;0.18
31/03/2006 17:00;0.17
31/03/2006 18:00;0.29
31/03/2006 19:00;0.25
31/03/2006 20:00;0.25
31/03/2006 21:00;0.12
31/03/2006 22:00;0.11
31/03/2006 23:00;0.09
01/04/2006 0:00;0.08
01/04/2006 1:00;0.04
01/04/2006 2:00;0.57
01/04/2006 3:00;0.46
01/04/2006 4:00;0.25
01/04/2006 5:00;0.14
01/04/2006 6:00;0.05
01/04/2006 7:00;0.01
01/04/2006 8:00;0
01/04/2006 9:00;0
01/04/2006 10:00;0.03
01/04/2006 11:00;0.05
01/04/2006 12:00;0.09
01/04/2006 13:00;0.11
01/04/2006 14:00;0.08
01/04/2006 15:00;0.14
01/04/2006 16:00;0.12
01/04/2006 17:00;0.13
01/04/2006 18:00;0.14
01/04/2006 19:00;0.16
01/04/2006 20:00;0.12
01/04/2006 21:00;0.13
01/04/2006 22:00;0.15
01/04/2006 23:00;0.09
02/04/2006 0:00;0.09
02/04/2006 1:00;0.08
02/04/2006 2:00;0.13
02/04/2006 3:00;0.19
02/04/2006 4:00;0.2
02/04/2006 5:00;0.16
02/04/2006 6:00;0.09
02/04/2006 7:00;0.08
02/04/2006 8:00;0.24
02/04/2006 9:00;0.25
02/04/2006 10:00;0.29
02/04/2006 11:00;0.37
02/04/2006 12:00;0.31
02/04/2006 13:00;0.3
02/04/2006 14:00;0.28
02/04/2006 15:00;0.32
02/04/2006 16:00;0.32
02/04/2006 17:00;0.35
02/04/2006 18:00;0.38
02/04/2006 19:00;0.24
02/04/2006 20:00;0.18
02/04/2006 21:00;0.15
02/04/2006 22:00;0.14
02/04/2006 23:00;0.15
03/04/2006 0:00;0.17
03/04/2006 1:00;0.17
03/04/2006 2:00;0.14
03/04/2006 3:00;0.04
03/04/2006 4:00;0.01
03/04/2006 5:00;0.03
03/04/2006 6:00;0.02
03/04/2006 7:00;0.07
03/04/2006 8:00;0.22
03/04/2006 9:00;0.28
03/04/2006 10:00;0.43
03/04/2006 11:00;0.62
03/04/2006 12:00;0.6
03/04/2006 13:00;0.46
03/04/2006 14:00;0.56
03/04/2006 15:00;0.64
03/04/2006 16:00;0.62
03/04/2006 17:00;0.62
03/04/2006 18:00;0.74
03/04/2006 19:00;0.47
03/04/2006 20:00;0.51
03/04/2006 21:00;0.52
03/04/2006 22:00;0.72
03/04/2006 23:00;0.72
04/04/2006 0:00;0.64
04/04/2006 1:00;0.61
04/04/2006 2:00;0.48
04/04/2006 3:00;0.31
04/04/2006 4:00;0.11
04/04/2006 5:00;0.12
04/04/2006 6:00;0.05
04/04/2006 7:00;0.16
04/04/2006 8:00;0.52
04/04/2006 9:00;0.94
04/04/2006 10:00;0.52
04/04/2006 11:00;0.53
04/04/2006 12:00;0.92
04/04/2006 13:00;0.79
04/04/2006 14:00;0.48
04/04/2006 15:00;0.34
04/04/2006 16:00;0.24
04/04/2006 17:00;0
04/04/2006 18:00;0.2
04/04/2006 19:00;0.17
04/04/2006 20:00;0.15
04/04/2006 21:00;0.26
04/04/2006 22:00;0.16
04/04/2006 23:00;0.06
05/04/2006 0:00;0.58
05/04/2006 1:00;0.11
05/04/2006 2:00;0.06
05/04/2006 3:00;0.08
05/04/2006 4:00;0.06
05/04/2006 5:00;0.17
05/04/2006 6:00;0.09
05/04/2006 7:00;0.05
05/04/2006 8:00;0.06
05/04/2006 9:00;0.14
05/04/2006 10:00;0.3
05/04/2006 11:00;0.72
05/04/2006 12:00;0.68
05/04/2006 13:00;0.88
05/04/2006 14:00;0.88
05/04/2006 15:00;0.85
05/04/2006 16:00;1.69
05/04/2006 17:00;1.06
05/04/2006 18:00;0.82
05/04/2006 19:00;0.62
05/04/2006 20:00;0.69
05/04/2006 21:00;0.65
05/04/2006 22:00;0.35
05/04/2006 23:00;0.18
06/04/2006 0:00;0.11
06/04/2006 1:00;0.32
06/04/2006 2:00;0.39
06/04/2006 3:00;0.16
06/04/2006 4:00;0.44
06/04/2006 5:00;0.63
06/04/2006 6:00;0.3
06/04/2006 7:00;0.57
06/04/2006 8:00;1.9
06/04/2006 9:00;1.83
06/04/2006 10:00;2.01
06/04/2006 11:00;1.09
06/04/2006 12:00;0.89
06/04/2006 13:00;0.79
06/04/2006 14:00;0.81
06/04/2006 15:00;0.88
06/04/2006 16:00;0.68
06/04/2006 17:00;0.88
06/04/2006 18:00;1.02
06/04/2006 19:00;0.9
06/04/2006 20:00;0.88
06/04/2006 21:00;0.66
06/04/2006 22:00;0.35
06/04/2006 23:00;0.27
07/04/2006 0:00;0.24
07/04/2006 1:00;0.17
07/04/2006 2:00;0.25
07/04/2006 3:00;0.17
07/04/2006 4:00;0.03
07/04/2006 5:00;0.04
07/04/2006 6:00;0.13
07/04/2006 7:00;0.35
07/04/2006 8:00;1.07
07/04/2006 9:00;1.14
07/04/2006 10:00;0.85
07/04/2006 11:00;0.3
07/04/2006 12:00;0
07/04/2006 13:00;0
07/04/2006 14:00;0.03
07/04/2006 15:00;0.86
07/04/2006 16:00;1.01
07/04/2006 17:00;0.9
07/04/2006 18:00;0.83
07/04/2006 19:00;0.81
07/04/2006 20:00;0.67
07/04/2006 21:00;0.53
07/04/2006 22:00;0.47
07/04/2006 23:00;0.56
08/04/2006 0:00;0.95
08/04/2006 1:00;0.84
08/04/2006 2:00;0.64
08/04/2006 3:00;0.56
08/04/2006 4:00;0.22
08/04/2006 5:00;0.09
08/04/2006 6:00;0.07
08/04/2006 7:00;0.51
08/04/2006 8:00;0.95
08/04/2006 9:00;0.69
08/04/2006 10:00;0.79
08/04/2006 11:00;0.89
08/04/2006 12:00;0.88
08/04/2006 13:00;0.88
08/04/2006 14:00;0.57
08/04/2006 15:00;0.5
08/04/2006 16:00;0.4
08/04/2006 17:00;0.4
08/04/2006 18:00;0.44
08/04/2006 19:00;0.34
08/04/2006 20:00;0.35
08/04/2006 21:00;0.35
08/04/2006 22:00;0.32
08/04/2006 23:00;0.16
09/04/2006 0:00;0.1
09/04/2006 1:00;0.02
09/04/2006 2:00;0
09/04/2006 3:00;0.02
09/04/2006 4:00;0
09/04/2006 5:00;0
09/04/2006 6:00;0
09/04/2006 7:00;0
09/04/2006 8:00;0.09
09/04/2006 9:00;0.13
09/04/2006 10:00;0.2
09/04/2006 11:00;0.12
09/04/2006 12:00;0.15
09/04/2006 13:00;0.06
09/04/2006 14:00;0
09/04/2006 15:00;0.01
09/04/2006 16:00;0
